ID,Object,Question,Answer,Evidence
c002DS01Q11,be_captured_by,which tacit knowledge is captured by technology-enable practices?,Traditional craftsmanship skills (wooden construction and rammed earth technology) and wartime life experiential knowledge are captured by technology-enable practices.,"[('Traditional craftsmanship skills', 'recorded in sequence', 'craftsmanship process such as wooden construction and rammed earth technology'), ('Interactive Knowledge Graph', 'digitalizes', 'recording of craftsmanship process'), ('Traditional wooden construction craftsmanship', 'recorded in sequence', 'craftsmanship process such as wooden construction'), ('Interactive Knowledge Graph', 'digitalizes', 'recording of craftsmanship process'), ('Rammed earth technology skills', 'recorded in sequence', 'craftsmanship process such as rammed earth technology'), ('Interactive Knowledge Graph', 'digitalizes', 'recording of craftsmanship process'), ('Wartime life experiential knowledge', 'most cases only use static pictures', 'instead of scenically reproduce the noise of a group refuge and kerosene lamp lighting'), ('Dynamic narrative system', 'reconstructs', 'historical scene such as bombing scene with temporal-space information')]"
c002DS01Q12,be_transferred_by,"Which uncodified skills, intuitions, or behavioral routines  are actively transferred via technology‑enabled practices?",Not Mention,
c002DS01Q13,participate_in,Which knowledge holders actively take part in knowledge retention practices?,Traditional Artisans and Visitors,"[Bulgaria's digital authorization system for intangible cultural heritage (ICH) skills raised traditional artisans income by 40%., Digital technology can improve visitors' immersion in virtual experience (the VR stay rate has been increased by 40%).]"
c002DS01Q14,depend_on,which organization or environment conditions technology-enable practices depend on?,Organizational and environmental dependencies,"[{'dep.node_name': 'Technical Standards for Historical Building Digitization (2021)', 'dep.category': 'Organizational Dependency'}, {'dep.node_name': 'Rural internet infrastructure', 'dep.category': 'Environmental Dependency'}, {'dep.node_name': 'Digital Protection of Intangible Cultural Heritage (2023) standard', 'dep.category': 'Organizational Dependency'}]"
c002DS01Q15,evaluate,which tacit knowledge technology-enable practices evaluate?,The dynamic narrative technology improved understanding of history by more than 50%.,"[('The dynamic narrative technology', 'triggered events by timelines', 'which improved the understanding of history by more than 50%')]"
c002DS01Q16,adopt,Which digital technologies technology‑enabled practices adopt?,Not Mentioned,"[('3D Laser Scanning Technology', 'dt.node_id', 'c002M01N15'), ('Unity3D Engine', 'dt.node_id', 'c002M01N17'), ('Unity3D Engine', 'dt.node_id', 'c002M01N17'), ('NetEase Yaotai Architecture', 'dt.node_id', 'c002M01N18'), ('FARO Focus S350 laser scanner', 'dt.node_id', 'c002M02N18'), ('Tobii Pro eye tracker', 'dt.node_id', 'c002M02N20'), ('Emotiv EEG device', 'dt.node_id', 'c002M02N21')]"
c002DS01Q17,be_constrained_by,Which limitations technology-enable practices are constrained by?,"High modeling cost, rural data transmission failure and low interoperability, excessive commercialization, and fragmented user experience.","[cost of modeling per building is 3-5 times higher than traditional methods., county-level projects is restricted to LOD200 models... data interoperability rate is below 30%., excessive commercial operation would decrease the number of EEG positive signals by 40%., visitors need to wait for an average of 2.7 seconds ... only 5% of venues provide haptic devices]"
c002DS01Q18,resolve,"Which limitations technology‑enabled practices resolve, and what evidence supports this?",The technology-enabled practice 'VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)' resolves the limitation of fragmented scenarios (lack of wartime life recreation).,"[{'technology_enabled_practice': 'VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)', 'limitation': 'Fragmented scenarios (lack of wartime life recreation)', 'evidence_statement': ""A new framework of 'graded protection-living inheritance-digital twin' is proposed... under metaverse scenario... reconstruction of bombing scene."", 'evidence_label': 'I', 'evidence_location': 'Page 1, Abstract'}]"
c002DS01Q19,mitigate,Which limitations technology‑enabled practices mitigate?,Not Mentioned,"[('Living heritage transmission crisis (indigenous return rate <30%)', 'l.node_name', 'Living heritage transmission crisis (indigenous return rate <30%)'), ('Living heritage transmission crisis (indigenous return rate <30%)', 'l.node_id', 'c002M02N26'), ('Urban-rural digital divide (data interoperability <30%)', 'l.node_name', 'Urban-rural digital divide (data interoperability <30%)'), ('Urban-rural digital divide (data interoperability <30%)', 'l.node_id', 'c002M02N24')]"
c002DS01Q20,complement,Which traditional human-central practices  technology‑enabled practices complement?,Not Mentioned,"[('Total Station Surveying', 'node_id', 'c002M01N08'), ('Traditional exhibition methods / physical display', 'node_id', 'c002M01N09')]"
c002DS01Q21,cannot_fully_replace,Which traditional human-central practice technology-enable practice cannot replace fully?,Not Mentioned,"[('Total Station Surveying', 'has error rate', '2-3%'), ('Total Station Surveying', 'is', 'Legacy electronic but human-driven distance measurement method'), ('Total Station Surveying', 'category', 'Traditional Human-central Practice'), ('3D Laser Scanning (FARO Focus S350 / Leica RTC360)', 'has error margin', '<0.5%'), ('3D Laser Scanning (FARO Focus S350 / Leica RTC360)', 'is', 'Digital capture workflow for geometric point cloud construction'), ('3D Laser Scanning (FARO Focus S350 / Leica RTC360)', 'category', 'Technology-enable Practice'), ('Traditional exhibition methods / physical display', 'extended average stay time', '22 minutes'), ('Traditional exhibition methods / physical display', 'is', 'Static, physical display workflows utilizing text and pictures'), ('Traditional exhibition methods / physical display', 'category', 'Traditional Human-central Practice'), ('VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)', 'is', 'Immersive virtual environments for experiential retention'), ('VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)', 'category', 'Technology-enable Practice')]"
c002DS01Q22,be_difficult_to_capture_due_to,Which limitations make tacit knowledge difficult to capture?,Not Mentioned,"[county-level projects is restricted to LOD200 models... data interoperability rate is below 30%., Rural data transmission failure and low interoperability, Network bottleneck rendering large point clouds unusable in rural zones.]"
c002DS02Q01,RQ1: What emerging technologies are adopted and how they support tacit knowledge capture and retention?,"What's the mechanism of each technology-enable practice? introduce this from relations among knowledge holders, tacit knowledge, digital technology, organizational dependency, resource dependency, and limitation perspectives.","The context provides a list of technology-enabled practices with their associated digital technologies, organizational dependencies, environmental dependencies, constraints, mitigated limitations, resolved limitations, participating knowledge holders, and captured tacit knowledge, but does not describe the mechanisms or relations among these elements.","[('Multimodal interaction testing (eye tracking + EEG)', 'AdoptedDigitalTechnologies', ['Tobii Pro eye tracker', 'Emotiv EEG device']), ('Graded protection framework', 'OrganizationalDependencies', ['Technical Standards for Historical Building Digitization (2021)']), ('3D Laser Scanning (FARO Focus S350 / Leica RTC360)', 'AdoptedDigitalTechnologies', ['3D Laser Scanning Technology']), ('3D Laser Scanning (FARO Focus S350 / Leica RTC360)', 'EnvironmentalDependencies', ['Rural internet infrastructure']), ('3D Laser Scanning (FARO Focus S350 / Leica RTC360)', 'Constraints', ['High modeling cost using advanced methods', 'Rural data transmission failure and low interoperability']), ('Interactive Knowledge Graph', 'MitigatedLimitations', ['Living heritage transmission crisis (indigenous return rate <30%)']), ('Interactive Knowledge Graph', 'ParticipatingKnowledgeHolders', ['Traditional Artisans']), ('Interactive Knowledge Graph', 'CapturedTacitKnowledge', ['Traditional craftsmanship skills', 'Traditional wooden construction craftsmanship', 'Rammed earth technology skills']), ('VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)', 'AdoptedDigitalTechnologies', ['NetEase Yaotai Architecture']), ('VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)', 'Constraints', ['Excessive commercialization / loss of cultural context']), ('VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)', 'ResolvedLimitations', ['Fragmented scenarios (lack of wartime life recreation)']), ('VR Exhibition Hall / Metaverse Scenario (NetEase Yaotai)', 'ParticipatingKnowledgeHolders', ['Visitors']), ('AR Scene Overlay / Guided Tour (Unity3D)', 'AdoptedDigitalTechnologies', ['Unity3D Engine']), ('AR Scene Overlay / Guided Tour (Unity3D)', 'Constraints', ['Fragmented user experience (2.7 sec wait, 5% haptic devices)']), ('AR Scene Overlay / Guided Tour (Unity3D)', 'ParticipatingKnowledgeHolders', ['Visitors']), ('3D laser scanning data acquisition', 'AdoptedDigitalTechnologies', ['FARO Focus S350 laser scanner']), ('3D laser scanning data acquisition', 'OrganizationalDependencies', ['Technical Standards for Historical Building Digitization (2021)']), ('3D laser scanning data acquisition', 'EnvironmentalDependencies', ['Rural internet infrastructure']), ('3D laser scanning data acquisition', 'MitigatedLimitations', ['Urban-rural digital divide (data interoperability <30%)']), ('Digital twin platform (Unity3D)', 'AdoptedDigitalTechnologies', ['Unity3D Engine']), ('Dynamic narrative system', 'OrganizationalDependencies', ['Digital Protection of Intangible Cultural Heritage (2023) standard']), ('Dynamic narrative system', 'CapturedTacitKnowledge', ['Wartime life experiential knowledge'])]"
c002DS02Q02,RQ1: What emerging technologies are adopted and how they support tacit knowledge capture and retention?,"What's the mechanism of each traditional human-central practice? introduce this from relations among knowledge holders, tacit knowledge, organizational dependency, resource dependency, and limitation perspectives.",The mechanisms of traditional human-central practices vary: Paper-based Surveying transfers traditional craftsmanship skills; Total Station Surveying depends on rural internet infrastructure; Traditional exhibition methods involve visitors transferring historical knowledge but face fragmented scenarios; Static photographic exhibition has fragmented user experience limitations.,"['Paper-based Surveying tacit_knowledge_transferred Traditional craftsmanship skills', 'Total Station Surveying environmental_dependencies Rural internet infrastructure', 'Traditional exhibition methods / physical display knowledge_holders Visitors', 'Traditional exhibition methods / physical display tacit_knowledge_transferred Historical knowledge and cognition of wartime life', 'Traditional exhibition methods / physical display limitations Fragmented scenarios (lack of wartime life recreation)', 'Static photographic exhibition limitations Fragmented user experience (2.7 sec wait, 5% haptic devices)']"
c002DS03Q01,"RQ2: What resources and capabilities are required, such as data input, expert participation, technical infrastructure, and organizational resources?",Which tangible organizational asset is required for the technology-enabled practices?,Technical Standards for Historical Building Digitization (2021) and Digital Protection of Intangible Cultural Heritage (2023) standard,"[('graded protection framework', 'is proposed based on', 'Technical Standards for Historical Building Digitization (2021)'), ('Digital Protection of Intangible Cultural Heritage (2023)', 'is a standard for', 'ICH digital preservation')]"
c002DS03Q02,"RQ2: What resources and capabilities are required, such as data input, expert participation, technical infrastructure, and organizational resources?",Which external environment condition is required for the technology-enabled practices?,Rural internet infrastructure,[point cloud data transmission failure rate in rural areas is as high as 18.7% (vs 2.3% in the urban cores)]
c002DS04Q01,"RQ3: How organizational culture influence effectiveness, such as culture, trust, leadership support, motivation, and expert participation?",Whether organization dependency like incentive or reward was used to encourage knowledge holders to actively participate in technology-enable practices?,Not Mention,
c002DS04Q02,"RQ3: How organizational culture influence effectiveness, such as culture, trust, leadership support, motivation, and expert participation?",Whether organization dependency like trust or safety climate was used to encourage knowledge holders to actively participate in technology-enable practices?,Not Mention,
c002DS05Q01,"What inherent vulnerability, shortcoming, or failure points the knowledge retention practices face?","What inherent vulnerability, shortcoming, or failure point of  the traditional human-central practices?",Fragmented scenarios and fragmented user experience,"[{'practice': 'Traditional exhibition methods / physical display', 'limitation': 'Fragmented scenarios (lack of wartime life recreation)', 'evidence': '85% of digital exhibitions only passively show building exterior... but lack recreation of wartime life.'}, {'practice': 'Static photographic exhibition', 'limitation': 'Fragmented user experience (2.7 sec wait, 5% haptic devices)', 'evidence': 'visitors need to wait for an average of 2.7 seconds ... only 5% of venues provide haptic devices'}]"
c002DS05Q02,"What inherent vulnerability, shortcoming, or failure points the knowledge retention practices face?","What inherent vulnerability, shortcoming, or failure point of  the technology-enabled practices?","High modeling cost, rural data transmission failure and low interoperability, excessive commercialization/loss of cultural context, fragmented user experience.","[{'limitation': 'High modeling cost using advanced methods', 'evidence': 'cost of modeling per building is 3-5 times higher than traditional methods.'}, {'limitation': 'Rural data transmission failure and low interoperability', 'evidence': 'county-level projects is restricted to LOD200 models... data interoperability rate is below 30%.'}, {'limitation': 'Excessive commercialization / loss of cultural context', 'evidence': 'excessive commercial operation would decrease the number of EEG positive signals by 40%.'}, {'limitation': 'Fragmented user experience (2.7 sec wait, 5% haptic devices)', 'evidence': 'visitors need to wait for an average of 2.7 seconds ... only 5% of venues provide haptic devices'}]"
c002DS05Q03,"What inherent vulnerability, shortcoming, or failure points the knowledge retention practices face?",Which limitations the technology-enabled practices resolve or at least mitigate the traditional human-central practices have faced?,Not Mentioned,"[('Digital Preservation of Chongqing Red Culture and Tourism Resource Development in Bayu Traditional Dwellings', 'has limitation', 'Fragmented scenarios (lack of wartime life recreation)'), ('Fragmented scenarios (lack of wartime life recreation)', 'is defined as', 'System shortcoming where displays lack live or animated context.'), ('Fragmented scenarios (lack of wartime life recreation)', 'has evidence', '85% of digital exhibitions only passively show building exterior... but lack recreation of wartime life.'), ('Fragmented scenarios (lack of wartime life recreation)', 'is located at', 'Page 3, Section 2.4.2'), ('Fragmented scenarios (lack of wartime life recreation)', 'has category', 'Limitation')]"
